Title,Author,ISBN-13,Year,Original Publisher,Updated Edition,Publisher/Stable URL,MLA 8 Citation,Free Online Copy,Buy,Google Books,Goodreads,WorldCat,Horror Lex Summary,Films Discussed,Tags,HL Recommended,Photo
Apocalypse: Imagining the End,"Hernandez, Alannah Ari (Ed.)",9781848882782 (ebook),2013,Brill,,https://doi.org/10.1163/9781848882782,"Hernandez, Alannah Ari, editor. Apocalypse: Imagining the End. Brill, 2013.",https://brill.com/view/book/9781848882782/BP000017.xml [relevant chapter],,,https://www.goodreads.com/book/show/45705724-apocalypse,http://www.worldcat.org/oclc/1096240642,,"Nuckolls, Charles W. - Apocalyptic Fantasy in American Film 

Donnar, Glen - Gendering Apocalypse, Selling (In)Security and Performing Consumption Securing in I Am Legend
・I Am Legend (2007)

Wolf, Meike - Viral Apocalypses: Preparing for the Worst Case Scenario
・Contagion (2011)
・I Am Legend (2007)","apocalypse, urban, cities, disease, pandemic, virus, capitalism, gender, men, women, male, female",,
Body Horror and Shapeshifting: A Multidisciplinary Exploration,"Folio, Jessica and Holly Luhning (Eds.)",9781848883062 (ebook),2014,Brill,,https://doi.org/10.1163/9781848883062,"Folio, Jessica, and Holly Luhning, editors. Body Horror and Shapeshifting: A Multidisciplinary Exploration. Brill, 2014.",,,,https://www.goodreads.com/book/show/28165261-body-horror-and-shapeshifting,http://www.worldcat.org/oclc/1096239248,,"Clark, Zoila - Zombies and the Breakdown of the Traditional Spanish Family: Clover’s Final Girl Fights Back in REC 3: Genesis and Daddy, I’m a Zombie
・[Rec] 3: Genesis (2012)
・Daddy, I'm a Zombie (Papá, soy una zombi) (2011)

Comanducci, Carlo -  Dying Someone Else’s Death: Embodied Experience of a Disembodied World in Brandon Cronenberg’s Antiviral 
・Antiviral (2012)

Luhning, Holly - Cronenberg’s Shivers: Contagion and Community
・Shivers (a.k.a. The Parasite Murders, They Came From Within) (1975)

McDaniel, Jamie -  Disability and Deviance: Dario Argento’s Phenomena and the Maintenance of Abledness as a Critical Framework in Film Studies 
・Phenomena (1985)

Dschaak, Maria - Cinema of the Body
・Baise-moi (Rape Me) (2000)
・Frontier(s) (Frontière(s)) (2007)
・Inside (À L'Intérieur) (2007)
・Martyrs (2008)
・Sombre (1998)
・Trouble Every Day (2001)","Spain, Spanish, zombies, family, families, Final Girl, body horror, disabled, disability, Dario Argento, New French Extremity, France, French",,
"Facing Our Darkness: Manifestations of Fear, Horror and Terror","Colmenero-Chilberg, Laura and Ferenc Mújdricza (Eds.)",9781848884298 (ebook),2015,Brill,,https://doi.org/10.1163/9781848884298,"Colmenero-Chilberg, Laura, and Ferenc Mújdricza, editors. Facing Our Darkness: Manifestations of Fear, Horror and Terror. Brill, 2015.",,,https://www.google.com/books/edition/FACING_OUR_DARKNESS/I4dDzQEACAAJ?hl=en,,http://www.worldcat.org/oclc/1110078038,,"Grabias, Magdalena - What We Fear and What We Desire: The Nature of Fear and Terror in Vampire Oriented Cinema
・Bram Stoker's Dracula (1992)
・Twilight (2008)

dos Santos Salles, Karina - From the Villain to the Avenger: Mythical Portrayals of Sweeney Todd
・Sweeney Todd: The Demon Barber of Fleet Street (1936)
・Sweeney Todd (TV) (2006)

Aston, James - Archaeology of 21st Century U.S. Horror: Production, Exhibition and Consumption of Hardcore Horror","vampires, myth, mythology, extreme",,
Bigger Than Bones,"Jenkins, Haley (Ed.)",9781848884168 (ebook),2016,Brill,,https://doi.org/10.1163/9781848884168,"Jenkins, Haley, editor. Bigger Than Bones. Brill, 2016.",,,https://www.google.com/books/edition/Bigger_Than_Bones/OL06zQEACAAJ?hl=en,,http://www.worldcat.org/oclc/1110067641,,"Seefried, Romina -  ""My Hands are Those of a Murderer"": Conceptions and Stagings of Artificial Corporeality in Silent Films",silents,,
"Cultural Experiences of Fear, Horror and Terror","Callaghan, Mark and Kacey Davis (Eds.)",9781848883314 (ebook),2016,Brill,,https://doi.org/10.1163/9781848883314,"Callaghan, Mark, and Kacey Davis, editors. Cultural Experiences of Fear, Horror and Terror. Brill, 2019.",,,,https://www.goodreads.com/book/show/45705750-cultural-experiences-of-fear-horror-and-terror,http://www.worldcat.org/oclc/1096236973,,"Wansbrough, A. Andreas - The Tragic Politics of Fear, Nature and Gender in Lars von Trier’s Antichrist
・Antichrist (2009)

Hood, Woodrow B. - Why Size Matters: Fear, Terror, and Their Real World Counterparts in Monster Movies
・Cloverfield (2008)
・The Host (2006)
・Monsters (2010)

Hewitt, Simon - I’m Not Sure I Like the Sound of That: Palliative Effects of the ""Synchronous Monster"" in The Exorcist 
・The Exorcist (1973)

Hennig, Martin - Cross-Cultural Fear? Japanese Horror Films and Their Hollywood Remakes
・The Grudge (2004)
・Ju-on: The Grudge (2002)
・Pulse (Kairo) (2001)
・Pulse (2006)
・The Ring (2002)
・Ringu (1998)","Lars von Trier, gender, men, male, women, female, monsters, sound, Japan, Asia, J-horror, remakes",,
"Ghost Movies in Southeast Asia and Beyond: Narratives, Cultural Contexts, Audiences","Bräunlein, Peter J. and Andrea Lauser","9789004323407 (hardcover)
9789004323643 (ebook)",2016,Brill,,https://doi.org/10.1163/9789004323643,"Bräunlein, Peter J., and Andrea Lauser. Ghost Movies in Southeast Asia and Beyond: Narratives, Cultural Contexts, Audiences. Brill, 2016.",,,https://www.google.com/books/edition/Ghost_Movies_in_Southeast_Asia_and_Beyon/NC7ODAAAQBAJ?hl=en&gbpv=0,https://www.goodreads.com/book/show/30163367-ghost-movies-in-southeast-asia-and-beyond,http://www.worldcat.org/oclc/1090743777,,,"Asia, ghosts, haunting, Japan, Thai, Thailand, Laos, Cambodia, Indonesia, spiritualism, demons, ",,
Intermediality in Theatre and Performance,"Chapple, Freda and Chiel Kattenbelt (Eds.)",9789042016293 (paperback),2006,Brill/Rodopi,,https://brill.com/view/title/31035?rskey=c1szso&result=1,"Chapple, Freda, and Chiel Kattenbelt, editors. Intermediality in Theatre and Performance. Brill/Rodopi, 2006.",,,https://www.google.com/books/edition/Intermediality_in_Theatre_and_Performanc/zwt49yGGE6oC?kptab=editions&sa=X&ved=2ahUKEwj4-63dyrnrAhVBU98KHfzCCiMQmBYwAHoECAAQBw,https://www.goodreads.com/book/show/2126038.Intermediality_in_Theatre_and_Performance,http://www.worldcat.org/oclc/168535111,,"Callens, Johan - Shadow of the Vampire: Double Takes on Nosferatu
・Nosferatu (1922)
・Shadow of the Vampire (2000)",vampires,,
The Changing Face of Evil in Film and Television,"Norden, Martin F. (Ed.)","9789042023246 (paperback)
9789401205276 (ebook)",2007,Brill/Rodopi,,https://doi.org/10.1163/9789401205276,"Norden, Martin F., editor. The Changing Face of Evil in Film and Television. Brill/Rodopi, 2007.",https://epdf.pub/the-changing-face-of-evil-in-film-and-televisionae4160c0f9fa3c8f2393a114689e62217136.html,,https://www.google.com/books/edition/The_Changing_Face_of_Evil_in_Film_and_Te/Ck5Nci7dMYwC?kptab=editions&sa=X&ved=2ahUKEwj96bz3y7nrAhVJn-AKHRMGB8IQmBYwAHoECAMQBw,https://www.goodreads.com/book/show/2251485.The_Changing_Face_of_Evil_in_Film_and_Television,http://www.worldcat.org/oclc/181068789,,"Soar, Matthew - The Bite at the Beginning: Encoding Evil Through Film Title Design
・American Psycho (2000)
・Psycho (1960)
・Se7en (1995)

Salamon, Linda Bradley - Screening Evil in History: Rope, Compulsion, Scarface, Richard III
・Compulsion (1959)
・Rope (1948)
・Scarface (1983)

Freeland, Cynthia A. - Natural Evil in the Horror Film: Alfred Hitchcock's The Birds
・The Birds (1962)

Hills, Matt and Steven Jay Schneider -  “The Devil Made Me Do It!”: Representing Evil and Disarticulating Mind/Body in the Supernatural Serial Killer Film 
・Fallen (1998)
・Frailty (2001)
・Shocker (1989)

Norden, Martin F. - The “Uncanny” Relationship of Disability and Evil in Film and Television 
・Films TBD","animals, nature, birds, Alfred Hitchcock, serial killers, disabled, disability",,
Hosting the Monster,"Baumgartner, Holly Lynn and Roger Davis (Eds.)","9789042024861 (paperback)
9789401206495 (ebook)",2008,Brill/Rodopi,,https://doi.org/10.1163/9789401206495,"Baumgartner, Holly Lynn, and Roger Davis, editors. Hosting the Monster. Brill/Rodopi, 2008.",,,https://www.google.com/books/edition/Hosting_the_Monster/mrxsHZo1S6UC?kptab=editions&sa=X&ved=2ahUKEwiY086HyrnrAhVwmuAKHRwJDLkQmBYwAHoECAMQBw,https://www.goodreads.com/book/show/6563966-hosting-the-monster,http://www.worldcat.org/oclc/1166768490,,"Kight, Duane W. - “I Live in the Weak and the Wounded”: The Monster of Brad Anderson’s Session 9 
・Session 9 (2001)

Fife, Lucy - Human Monstrosity: Rape, Ambiguity and Performance in Rosemary’s Baby
・Rosemary's Baby (1968)

Fhlainn, Sorcha Ní -  Sweet, Bloody Vengeance: Class, Social Stigma and Servitude in the Slasher Genre
・Candyman (1992)
・Friday the 13th (1980)
・Halloween (2007)
・A Nightmare on Elm Street (1984)
・The People Under the Stairs (1991)
・The Texas Chain Saw Massacre (1974)

The Monsters that Failed to Scare: The Atypical Reception of the 1930s Horror Films in Belgium
・Films TBD","monsters, rape, politics, 1980s, Reagan, 1930s, Belgium",,
Something Wicked This Way Comes: Essays on Evil and Human Wickedness,"Balmain, Colette and Lois Drawmer (Eds.)","9789042025509 (paperback)
9789042028791 (ebook)",2009,Brill/Rodopi,,https://doi.org/10.1163/9789042028791,"Balmain, Colette, and Lois Drawmer, editors. Something Wicked This Way Comes: Essays on Evil and Human Wickedness. Brill/Rodopi, 2009.",,,https://www.google.com/books/edition/Something_Wicked_this_Way_Comes/NLxqM2T0QMQC?kptab=editions&sa=X&ved=2ahUKEwjRxYSxy7nrAhUFVt8KHdOrCXcQmBYwAHoECAYQBw,https://www.goodreads.com/book/show/6383688-something-wicked-this-way-comes,http://www.worldcat.org/oclc/907184628,,"Balmain, Collette -  Oriental Nightmares: The ""Demonic"" Other in Contemporary American Adaptations of Japanese Horror Film
・The Grudge (2004)
・Ju-on: The Grudge (2002)
・The Ring (2002)
・Ringu (1998)","Asia, Japan, J-horror, orientalism",,
